股票代號,股票名稱,股數,持股權重
2330,台積電,2992000,9.27%
3017,奇鋐,2352000,6.31%
2383,台光電,1809000,6.43%
2345,智邦,2625000,6.01%
3653,健策,940000,5.16%
2308,台達電,2560000,5.03%
8299,群聯,1614000,5.08%
6223,旺矽,988000,4.74%
6669,緯穎,741000,4.72%
6274,台燿,4965000,4.43%
3665,貿聯-KY,1841848,4.39%
2368,金像電,2887000,3.98%
3661,世芯-KY,540000,3.14%
6805,富世達,1094000,2.84%
2327,國巨*,6729000,2.80%
5274,信驊,178000,2.71%
8046,南電,3788000,2.46%
8210,勤誠,1563000,2.63%
3037,欣興,3974000,2.66%
6515,穎崴,231000,2.08%
6510,精測,236000,1.38%
6139,亞翔,1653000,1.35%
8358,金居,1826000,0.72%
1303,南亞,6261000,0.70%
1815,富喬,4575000,0.59%
6488,環球晶,786000,0.61%
2449,京元電子,1260000,0.76%
6191,精成科,3326000,0.66%
1326,台化,5790000,0.50%
3376,新日興,1044000,0.28%
5269,祥碩,140000,0.19%
3211,順達,585000,0.42%
1319,東陽,1531000,0.39%
2404,漢唐,165000,0.32%
2059,川湖,40000,0.10%
4979,華星光,329000,0.28%
2002,中鋼,4923000,0.03%
1802,台玻,2065000,0.30%
3217,優群,326000,0.00%
3008,大立光,3000,0.00%
2357,華碩,2000,0.00%
8996,高力,1000,0.00%
2439,美律,2000,0.00%
3533,嘉澤,1000,0.06%
3045,台灣大,2000,0.19%
2454,聯發科,1000,0.00%
5536,聖暉*,1000,0.00%
2884,玉山金,2010,0.07%
2313,華通,1000,0.00%
2317,鴻海,1000,0.01%
